Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
61910,STANDARD,Arcola,IL,Douglas County,217,39.68,-88.3,3744
61911,STANDARD,Arthur,IL,Douglas County,217,39.71,-88.46,3742
61912,STANDARD,Ashmore,IL,Coles County,217,39.53,-88.02,1214
61913,STANDARD,Atwood,IL,Douglas County,217,39.79,-88.46,1496
61914,STANDARD,Bethany,IL,Moultrie County,217,39.64,-88.74,1709
61917,STANDARD,Brocton,IL,Edgar County,217,39.71,-87.93,484
61919,STANDARD,Camargo,IL,Douglas County,217,39.79,-88.16,692
61920,STANDARD,Charleston,IL,Coles County,217,39.48,-88.17,13933
61924,STANDARD,Chrisman,IL,Edgar County,217,39.8,-87.67,1893
61925,STANDARD,Dalton City,IL,Moultrie County,217,39.71,-88.8,895
61928,STANDARD,Gays,IL,Moultrie County,217,39.45,-88.49,645
61929,STANDARD,Hammond,IL,Piatt County,217,39.79,-88.59,663
61930,STANDARD,Hindsboro,IL,Douglas County,217,39.68,-88.13,464
61931,STANDARD,Humboldt,IL,Coles County,217,39.6,-88.31,968
61932,STANDARD,Hume,IL,Edgar County,217,39.79,-87.86,0
61933,STANDARD,Kansas,IL,Edgar County,217,39.55,-87.93,970
61937,STANDARD,Lovington,IL,Moultrie County,217,39.71,-88.63,1765
61938,STANDARD,Mattoon,IL,Coles County,217,39.47,-88.36,17984
61940,STANDARD,Metcalf,IL,Edgar County,217,39.8,-87.8,0
61942,STANDARD,Newman,IL,Douglas County,217,39.79,-87.98,1048
61943,STANDARD,Oakland,IL,Coles County,217,39.65,-88.02,1468
61944,STANDARD,Paris,IL,Edgar County,217,39.61,-87.69,10511
61951,STANDARD,Sullivan,IL,Moultrie County,217,39.59,-88.6,6646
61953,STANDARD,Tuscola,IL,Douglas County,217,39.79,-88.28,5541
61956,STANDARD,Villa Grove,IL,Douglas County,217,39.86,-88.15,2512
61957,STANDARD,Windsor,IL,Shelby County,217,39.43,-88.59,1600
62001,STANDARD,Alhambra,IL,Madison County,618,38.88,-89.73,1554
62002,STANDARD,Alton,IL,Madison County,618,38.9,-90.15,25680
62006,STANDARD,Batchtown,IL,Calhoun County,618,39.03,-90.65,523
62009,STANDARD,Benld,IL,Macoupin County,217,39.09,-89.8,1440
